Date,Topic,Link
२०७९ मंसिर २७,चीन सरकारद्वारा सन् २०२३/२४ मा प्रदान हुने इञ्जिनियरिङ विषयको स्नातक र स्नातकोत्तर तह तथा कृषि विषयको स्नातकोत्तर तह को छात्रवृत्तिमा अध्ययन गर्न दरखास्त दिने उम्मेदवारहरुको पूर्व मनोनयन सम्बन्धी जरुरी सूचनाः,https://moest.gov.np/upload_file/files/post/1670916822_1460136576_Pre-nomination%20notice%20of%20%202079%20(1).pdf
२०७९ मंसिर २०,चीन सरकारद्वारा सन् २०२३/२४ मा प्रदान हुने इञ्जिनियरिङ विषयको स्नातक र स्नातकोत्तर तह तथा कृषि विषयको स्नातकोत्तर तह को छात्रवृत्तिमा अध्ययन गर्न दरखास्त दिने उम्मेदवारहरुको योग्यताक्रम कायम सम्बन्धी जरुरी सूचना .,https://moest.gov.np/upload_file/files/post/1670321262_1027265265_notice%20of%20%20CHN%202079%20(1).pdf
२०७९ कार्तिक २३,चीन सरकारद्वारा सन २०२३/२४ मा प्रदान हुने इञ्जिनियरिङ विषयको स्नातक र स्नातकोत्तर तह तथा कृषि विषयको स्नातकोत्तर तह को छात्रवृत्तिमा अध्ययन गर्न इच्छुक उम्मेदवारलाई दरखास्त दिने सम्बन्धी जरुरी सूचनाः,https://moest.gov.np/upload_file/files/post/1667975500_1843243957_notice%20of%20%20CHN%202079.pdf
२०७९ भाद्र ३०,वैदेशिक अध्ययन / तालिम छात्रवृतिमा सम्बन्धि सूचना ।,https://moest.gov.np/upload_file/files/post/1663217934_870424852_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%20%E0%A4%A4%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%AE%20%20%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A4%BF%E0%A4%AE%E0%A4%BE%20%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%BF%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE.pdf
२०७९ भाद्र २३,चीन सरकारले उपलब्ध गराएको छात्रवृत्तिमा चीन सरकारद्वारा स्वीकृत भई विश्वविद्यालयमा भर्ना भएका तथा भिषा प्राप्त गरेका उम्मेदवारहरूको मनोनयन तथा सम्पर्क राख्ने सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1662654088_2029914887_Manonayan%20CHNNotice%20(1).pdf
२०७९ भाद्र १९,वैदेशिक अध्ययन/छात्रवृत्तिम आवेदनसम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1662284302_1843619494_%E0%A4%B5%E0%A5%88%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%95%20%E0%A4%85%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%AF%E0%A4%A8%E0%A4%9B%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A4%BF%E0%A4%AE%E0%A4%BE%20%E0%A4%86%E0%A4%AC%E0%A5%87%E0%A4%A6%E0%A4%A8%20%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%BF%20%E0%A4%B8%E0%A5%82%E0%A4%9A%E0%A4%A8%E0%A4%BE%20(2).pdf
२०७९ भाद्र ९,चीन सरकारले उपलब्ध गराएको छात्रवृत्तिमा चीन सरकारद्वारा स्वीकृत भएका उम्मेदवारहरूले सम्पर्क राख्न जाने सम्बन्धी जरुरी सूचना,https://moest.gov.np/upload_file/files/post/1661406156_394984091_Title%202%20Contact%20Notice.pdf
२०७९ भाद्र ९,Swiss Government Excellence Scholarship खुल्ला भएको सम्बन्धी जानकारीमूलक सूचना,https://moest.gov.np/upload_file/files/post/1661406092_288732060_Title1%20SWiss%20Notice%202079.pdf
२०७९ श्रावण १०,वैदेशिक अध्ययन/छात्रवृत्तिमा आवेदन सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1658831415_1834905314_eduNoTice.pdf
२०७९ श्रावण ४,वैदेशिक अध्ययन/छात्रवृत्तिमा आवेदन सम्बन्धी सूचना,https://moest.gov.np/upload_file/files/post/1658308616_340436361_noTice.jpeg
